ClaimNo_AT,AccidentDesc,AccidentTypeDesc,DriverNric
POL-2023-716498,"Luggage lost on flight from New York to Dubai. Contained electronics, clothing, documents.",travel,S2696630C
POL-2024-893913,"Allergic reaction to medication. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S3347169F
POL-2023-388638,Vehicle collided with pole at residential area. Driver experienced back pain. Rainy conditions.,vehicle,S8087312C
POL-2022-425098,Passport stolen in downtown. Had to changing lanes. Additional costs incurred. Urgent processing requested.,travel,S6470261E
POL-2020-119185,Flight delayed for 24 hours. Missed connecting flight. Incurred $500 in expenses.,travel,S6010741G
POL-2023-811294,Sudden chest pain while sightseeing. Transported to hospital. medication administered.,medical,S5140640H
POL-2022-765097,Overexertion during traveling caused whiplash. Doctor recommended observation.,sports,S6617954B
POL-2022-141654,Rear-ended by another vehicle while stopped at traffic light. Suffered fractured ribs. Police report filed. No witnesses present.,vehicle,S3884632A
POL-2020-566575,Sudden diabetic emergency while traveling. Transported to hospital. medication administered.,medical,S2721227C
POL-2022-964207,Rear-ended by another vehicle while changing lanes. Suffered whiplash. Police report filed. Insurance claim to follow.,vehicle,S5595188F
POL-2024-545481,Sudden seizure while working. Transported to hospital. physical therapy administered.,medical,S9873341G
POL-2023-353837,Rear-ended by another vehicle while slowing down. Suffered whiplash. Police report filed. Urgent processing requested.,vehicle,S9415337D
POL-2024-979861,Slipped and fell at office building. Resulted in whiplash. Required specialized care.,medical,S2587239G
POL-2022-498883,Single vehicle accident due to brake failure. shoulder pain sustained. Vehicle front bumper damaged.,vehicle,S1557509B
POL-2022-938022,Pre-existing chest pain aggravated during travel. Required medication.,medical,S4832347C
POL-2021-450067,Passport stolen in downtown. Had to slowing down. Additional costs incurred.,travel,S7511518E
POL-2022-763105,Hit and run incident in downtown. Vehicle minor scratches. Driver had knee injury.,vehicle,S4988862C
POL-2021-255728,Rear-ended by another vehicle while slowing down. Suffered fractured ribs. Police report filed.,vehicle,S8512880H
POL-2020-358950,Car accident on Interstate 95 involving 2 vehicles. whiplash reported. rear damage to vehicle.,vehicle,S3762900C
POL-2020-474948,Food poisoning at street vendor. Symptoms included severe pain. Hospitalized for 3 days. Photos attached.,medical,S5841671G
POL-2024-276071,Sudden chest pain while traveling. Transported to hospital. specialized care administered. Insurance claim to follow.,medical,S7822718F
POL-2021-902008,Vehicle collided with pole at intersection. Driver experienced knee injury. Foggy conditions. Seeking full compensation.,vehicle,S9763336B
POL-2023-149834,Car accident on Park Avenue involving 3 vehicles. whiplash reported. minor scratches to vehicle. Insurance claim to follow.,vehicle,S5532570H
POL-2023-262500,Sudden diabetic emergency while dining. Transported to hospital. emergency surgery administered. No witnesses present.,medical,S7987605F
POL-2021-420420,Sudden chest pain while working. Transported to hospital. observation administered.,medical,S1454152H
POL-2021-746684,Passport stolen in parking lot. Had to turning left. Additional costs incurred. Seeking full compensation.,travel,S4655778B
POL-2023-595352,"Luggage lost on flight from London to Bangkok. Contained jewelry, camera equipment. Previous claim history: none.",travel,S7372584D
POL-2021-987679,Sudden chest pain while traveling. Transported to hospital. observation administered.,medical,S6232724B
POL-2023-210740,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle significant damage.,vehicle,S9466916C
POL-2024-426769,Flight delayed for 24 hours. Missed connecting flight. Incurred $1000 in expenses.,travel,S5807828B
POL-2020-858494,Vehicle collided with wall at shopping mall. Driver experienced bruises. Foggy conditions.,vehicle,S6821465G
POL-2024-379051,Slipped and fell at shopping mall. Resulted in concussion. Required physical therapy.,medical,S9744435G
POL-2023-745575,Single vehicle accident due to tire blowout. knee injury sustained. Vehicle minor scratches.,vehicle,S7495790F
POL-2022-216231,Food poisoning at local restaurant. Symptoms included dizziness. Hospitalized for 4 days.,medical,S1429738F
POL-2023-108130,Single vehicle accident due to tire blowout. knee injury sustained. Vehicle total loss.,vehicle,S6022839H
POL-2021-498763,Vehicle collided with wall at intersection. Driver experienced bruises. Windy conditions.,vehicle,S3532632D
POL-2024-721699,Hit and run incident in residential area. Vehicle total loss. Driver had concussion.,vehicle,S4496712H
POL-2020-270584,Slipped and fell at intersection. Resulted in neck strain. Required specialized care.,medical,S4789288F
POL-2024-471216,"Burglary at residence. jewelry, camera equipment stolen. Property damage includes total loss.",property,S7972504D
POL-2020-159949,Car accident on Highway 1 involving multiple vehicles. back pain reported. significant damage to vehicle.,vehicle,S1805731F
POL-2024-638455,Car accident on Park Avenue involving 3 vehicles. concussion reported. rear damage to vehicle.,vehicle,S1212780F
POL-2022-652111,"Luggage lost on flight from New York to Bangkok. Contained jewelry, camera equipment.",travel,S9454062B
POL-2020-212522,Sudden chest pain while traveling. Transported to hospital. observation administered.,medical,S1940896C
POL-2022-744408,Sudden seizure while sightseeing. Transported to hospital. physical therapy administered.,medical,S4052535B
POL-2024-215751,Equipment failure during swimming resulted in fractured ribs. Required specialized care. Seeking full compensation.,sports,S2585394H
POL-2022-353022,Food poisoning at airport cafe. Symptoms included severe pain. Hospitalized for 3 days. Insurance claim to follow.,medical,S2454960B
POL-2022-339818,Car accident on Interstate 95 involving multiple vehicles. concussion reported. rear damage to vehicle.,vehicle,S5743599H
POL-2023-555338,Flight delayed for 3 hours. Missed tour booking. Incurred $2000 in expenses.,travel,S5500366F
POL-2020-725217,Equipment failure during skiing resulted in whiplash. Required physical therapy.,sports,S2293828G
POL-2020-899460,Flight delayed for 24 hours. Missed cruise departure. Incurred $5000 in expenses.,travel,S8177414G
POL-2021-117876,Pre-existing asthma attack aggravated during travel. Required emergency surgery.,medical,S5769193H
POL-2023-312140,Single vehicle accident due to mechanical failure. knee injury sustained. Vehicle rear damage.,vehicle,S9355373C
POL-2020-598303,Car accident on Park Avenue involving 4 vehicles. knee injury reported. total loss to vehicle.,vehicle,S7257167C
POL-2022-983500,Single vehicle accident due to mechanical failure. whiplash sustained. Vehicle significant damage. Photos attached.,vehicle,S8108762E
POL-2024-470866,Overexertion during exercising caused bruises. Doctor recommended specialized care.,sports,S7272355H
POL-2024-724556,Collision with tree during skiing activity. Sustained neck strain. Urgent processing requested.,sports,S8115841H
POL-2021-998293,Hit and run incident in downtown. Vehicle total loss. Driver had knee injury.,vehicle,S1357962C
POL-2024-397861,Fell ill with altitude sickness during trip to Egypt. Medical expenses $2500.,travel,S2514742G
POL-2022-711663,Equipment failure during cycling resulted in shoulder pain. Required emergency surgery.,sports,S8781718G
POL-2022-338008,Single vehicle accident due to mechanical failure. knee injury sustained. Vehicle front bumper damaged.,vehicle,S2345304H
POL-2020-191268,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes significant damage.",property,S8401874F
POL-2020-532488,Vehicle collided with another vehicle at office building. Driver experienced back pain. Snowy conditions.,vehicle,S5750432E
POL-2024-535489,Fell ill with food poisoning during trip to Egypt. Medical expenses $10000.,travel,S4063483G
POL-2021-283606,"Fire damage at shopping mall. electronics, clothing, documents destroyed. Total loss estimated at $10000. Previous claim history: none.",property,S9461274D
POL-2022-302858,Pre-existing asthma attack aggravated during travel. Required emergency surgery.,medical,S7929798C
POL-2023-683357,Fell ill with stomach flu during trip to Egypt. Medical expenses $2500. Photos attached.,travel,S1749662G
POL-2022-859549,Flight delayed for 3 hours. Missed cruise departure. Incurred $1000 in expenses.,travel,S8079854B
POL-2022-182404,Storm damage to vehicle. minor scratches observed. Temporary accommodation needed. Urgent processing requested.,property,S5287192F
POL-2020-101212,Sudden asthma attack while sightseeing. Transported to hospital. physical therapy administered.,medical,S2803749F
POL-2020-372997,Hit and run incident in residential area. Vehicle rear damage. Driver had knee injury.,vehicle,S4358960A
POL-2021-258873,Water damage to office due to tire blowout. Estimated repair cost $10000.,property,S6630115C
POL-2022-772873,Car accident on Highway 1 involving 2 vehicles. concussion reported. rear damage to vehicle.,vehicle,S9024868H
POL-2022-250915,Hit and run incident in residential area. Vehicle total loss. Driver had shoulder pain. Seeking full compensation.,vehicle,S1042072D
POL-2023-538055,Sudden heart palpitations while exercising. Transported to hospital. emergency surgery administered.,medical,S1460458E
POL-2020-184484,Overexertion during traveling caused back pain. Doctor recommended medication. Seeking full compensation.,sports,S7506074C
POL-2023-945728,Pre-existing chest pain aggravated during travel. Required specialized care.,medical,S6754000D
POL-2023-475353,Slipped and fell at downtown. Resulted in bruises. Required observation.,medical,S2611475G
POL-2021-977380,Hit and run incident in downtown. Vehicle front bumper damaged. Driver had back pain. Insurance claim to follow.,vehicle,S3746323C
POL-2020-698595,Collision with pedestrian during cycling activity. Sustained shoulder pain. Photos attached.,sports,S1350896F
POL-2022-515788,Single vehicle accident due to animal crossing. concussion sustained. Vehicle minor scratches.,vehicle,S9886335B
POL-2021-425846,Vehicle collided with divider at downtown. Driver experienced neck strain. Snowy conditions.,vehicle,S8858726E
POL-2024-517784,Rear-ended by another vehicle while parking. Suffered concussion. Police report filed.,vehicle,S7467813B
POL-2020-220096,Fall during football practice. shoulder pain to wrist. X-ray showed minor fracture.,sports,S4029545F
POL-2023-456175,Vandalism to storage unit. front bumper damaged requiring professional repair.,property,S3258459B
POL-2020-828259,Vehicle collided with tree at office building. Driver experienced bruises. Normal conditions.,vehicle,S7349961H
POL-2024-119430,Single vehicle accident due to animal crossing. back pain sustained. Vehicle significant damage.,vehicle,S4589736A
POL-2020-384236,Vehicle collided with tree at office building. Driver experienced neck strain. Icy conditions. Photos attached.,vehicle,S2383336D
POL-2021-216451,Single vehicle accident due to slippery road. shoulder pain sustained. Vehicle significant damage.,vehicle,S3685663H
POL-2021-387951,Single vehicle accident due to tire blowout. knee injury sustained. Vehicle minor scratches.,vehicle,S9242309C
POL-2020-157263,Single vehicle accident due to mechanical failure. neck strain sustained. Vehicle rear damage.,vehicle,S9662101E
POL-2021-377443,Allergic reaction to medication. Experienced difficulty breathing. Emergency treatment required. Urgent processing requested.,medical,S4133354C
POL-2020-993458,Rear-ended by another vehicle while parking. Suffered concussion. Police report filed. Previous claim history: none.,vehicle,S7710323G
POL-2022-958968,Slipped and fell at office building. Resulted in bruises. Required specialized care. Photos attached.,medical,S9232445G
POL-2021-285102,Water damage to office due to animal crossing. Estimated repair cost $2500.,property,S2993518E
POL-2020-636604,Single vehicle accident due to animal crossing. whiplash sustained. Vehicle rear damage. Seeking full compensation.,vehicle,S2016959F
POL-2024-618442,Collision with cyclist during cycling activity. Sustained bruises.,sports,S9612083A
POL-2021-378016,Vehicle collided with cyclist at shopping mall. Driver experienced whiplash. Windy conditions. Photos attached.,vehicle,S8421244D
POL-2022-601405,Rear-ended by another vehicle while slowing down. Suffered shoulder pain. Police report filed. No witnesses present.,vehicle,S7275416C
POL-2024-881307,Flight delayed for 3 hours. Missed hotel reservation. Incurred $1000 in expenses.,travel,S5391977G
POL-2020-289866,Flight delayed for 24 hours. Missed hotel reservation. Incurred $500 in expenses.,travel,S4823625H
POL-2023-156081,Car accident on Highway 1 involving 3 vehicles. back pain reported. significant damage to vehicle. No witnesses present.,vehicle,S8969909C
POL-2020-676295,Rear-ended by another vehicle while slowing down. Suffered whiplash. Police report filed. Urgent processing requested.,vehicle,S9967438D
POL-2024-349325,"Allergic reaction to medication. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S4797818B
POL-2020-841136,Vandalism to apartment. total loss requiring professional repair. Insurance claim to follow.,property,S5159284B
POL-2024-585127,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle total loss.,vehicle,S2336696D
POL-2021-884535,Rear-ended by another vehicle while slowing down. Suffered bruises. Police report filed.,vehicle,S8739560B
POL-2024-107214,Hit and run incident in downtown. Vehicle rear damage. Driver had shoulder pain.,vehicle,S7696086A
POL-2023-872939,Hit and run incident in office building. Vehicle total loss. Driver had neck strain.,vehicle,S3638700H
POL-2024-438318,Water damage to vehicle due to brake failure. Estimated repair cost $1000.,property,S2101239D
POL-2024-805298,Flight delayed for 48 hours. Missed tour booking. Incurred $2000 in expenses. Insurance claim to follow.,travel,S5381432E
POL-2022-367922,Car accident on Park Avenue involving 2 vehicles. neck strain reported. front bumper damaged to vehicle.,vehicle,S4739908D
POL-2023-200668,Fall during cycling practice. shoulder pain to shoulder. X-ray showed muscle strain. Photos attached.,sports,S3554033B
POL-2023-831935,Hit and run incident in residential area. Vehicle minor scratches. Driver had concussion. Seeking full compensation.,vehicle,S8270479E
POL-2021-636266,Passport stolen in highway. Had to turning left. Additional costs incurred.,travel,S9362178F
POL-2021-235664,Single vehicle accident due to tire blowout. back pain sustained. Vehicle front bumper damaged.,vehicle,S4769933F
POL-2021-219729,Fall during tennis practice. shoulder pain to shoulder. X-ray showed no fracture.,sports,S2986047G
POL-2023-686989,Trip cancelled due to medical emergency. Non-refundable bookings worth $10000. No witnesses present.,travel,S4381142B
POL-2020-763034,Car accident on Highway 1 involving multiple vehicles. neck strain reported. minor scratches to vehicle.,vehicle,S1316954H
POL-2020-498873,Fell ill with altitude sickness during trip to Thailand. Medical expenses $1000. Urgent processing requested.,travel,S4033433D
POL-2021-435647,Hit and run incident in downtown. Vehicle front bumper damaged. Driver had shoulder pain.,vehicle,S5557934E
POL-2022-965096,Collision with another vehicle during tennis activity. Sustained shoulder pain. Previous claim history: none.,sports,S2045414G
POL-2022-318614,Single vehicle accident due to brake failure. neck strain sustained. Vehicle front bumper damaged. No witnesses present.,vehicle,S4418885C
POL-2022-305913,Rear-ended by another vehicle while turning left. Suffered fractured ribs. Police report filed.,vehicle,S7853022F
POL-2020-538759,Passport stolen in office building. Had to parking. Additional costs incurred.,travel,S6884506F
POL-2023-935383,Vehicle collided with pedestrian at parking lot. Driver experienced shoulder pain. Normal conditions. Previous claim history: none.,vehicle,S9334603H
POL-2023-986853,Hit and run incident in residential area. Vehicle minor scratches. Driver had knee injury.,vehicle,S5580046C
POL-2021-928095,Food poisoning at street vendor. Symptoms included dizziness. Hospitalized for 1 days.,medical,S6959962F
POL-2023-726819,Allergic reaction to medication. Experienced difficulty breathing. Emergency treatment required. Seeking full compensation.,medical,S5468465H
POL-2021-456585,Single vehicle accident due to mechanical failure. bruises sustained. Vehicle significant damage. Urgent processing requested.,vehicle,S9686486E
POL-2020-779104,Passport stolen in shopping mall. Had to parking. Additional costs incurred. Insurance claim to follow.,travel,S1504930B
POL-2021-137531,Trip cancelled due to family emergency. Non-refundable bookings worth $5000.,travel,S4172475A
POL-2024-549651,Fell ill with dengue fever during trip to Brazil. Medical expenses $1000.,travel,S3757814D
POL-2021-968343,Fell ill with dengue fever during trip to Egypt. Medical expenses $5000.,travel,S2172164B
POL-2020-636938,Water damage to vehicle due to slippery road. Estimated repair cost $10000. No witnesses present.,property,S1538123F
POL-2024-923255,Pre-existing diabetic emergency aggravated during travel. Required observation. Insurance claim to follow.,medical,S4951960B
POL-2024-427948,"Food poisoning at airport cafe. Symptoms included severe headache, fever. Hospitalized for 4 days.",medical,S4062599C
POL-2021-451908,Vehicle collided with divider at residential area. Driver experienced concussion. Rainy conditions. Previous claim history: none.,vehicle,S1082110C
POL-2021-128681,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes front bumper damaged. No witnesses present.",property,S3924653B
POL-2024-191800,Single vehicle accident due to slippery road. knee injury sustained. Vehicle front bumper damaged.,vehicle,S1295982F
POL-2020-719442,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle significant damage.,vehicle,S5080333D
POL-2022-929531,Trip cancelled due to political unrest. Non-refundable bookings worth $25000. Photos attached.,travel,S5461355D
POL-2021-988937,"Food poisoning at local restaurant. Symptoms included severe headache, fever. Hospitalized for 1 days. No witnesses present.",medical,S5340136G
POL-2020-499658,"Luggage lost on flight from New York to Dubai. Contained business documents, laptop. Insurance claim to follow.",travel,S5570382H
POL-2021-764187,Slipped and fell at office building. Resulted in fractured ribs. Required emergency surgery.,medical,S1783783B
POL-2021-716222,Vehicle collided with divider at residential area. Driver experienced back pain. Icy conditions.,vehicle,S2822189B
POL-2022-505189,Hit and run incident in residential area. Vehicle significant damage. Driver had bruises. No witnesses present.,vehicle,S5899776B
POL-2023-304614,Fell ill with dengue fever during trip to Mexico. Medical expenses $5000. Insurance claim to follow.,travel,S5374038D
POL-2022-548806,"Luggage lost on flight from New York to Los Angeles. Contained business documents, laptop.",travel,S6388334F
POL-2020-159131,Trip cancelled due to weather. Non-refundable bookings worth $1000.,travel,S7787087G
POL-2023-213109,Trip cancelled due to weather. Non-refundable bookings worth $1000.,travel,S2530564C
POL-2024-924421,Vandalism to home. minor scratches requiring professional repair. Previous claim history: none.,property,S5991864B
POL-2023-108164,Sudden diabetic emergency while working. Transported to hospital. specialized care administered.,medical,S7737955F
POL-2024-964557,Sudden diabetic emergency while dining. Transported to hospital. physical therapy administered.,medical,S6266330G
POL-2021-405901,Vehicle collided with cyclist at parking lot. Driver experienced concussion. Icy conditions. Photos attached.,vehicle,S2115633C
POL-2022-126870,Food poisoning at street vendor. Symptoms included dizziness. Hospitalized for 2 days. Insurance claim to follow.,medical,S1425394B
POL-2021-914762,Single vehicle accident due to slippery road. fractured ribs sustained. Vehicle total loss. No witnesses present.,vehicle,S2832512H
POL-2022-188740,Passport stolen in residential area. Had to changing lanes. Additional costs incurred.,travel,S9687374C
POL-2021-402841,Rear-ended by another vehicle while parking. Suffered shoulder pain. Police report filed. Urgent processing requested.,vehicle,S9591125H
POL-2022-616972,Rear-ended by another vehicle while stopped at traffic light. Suffered knee injury. Police report filed.,vehicle,S8666531D
POL-2024-621534,Pre-existing asthma attack aggravated during travel. Required physical therapy.,medical,S8824080E
POL-2022-659428,Rear-ended by another vehicle while changing lanes. Suffered neck strain. Police report filed.,vehicle,S7098434C
POL-2022-383380,Car accident on Interstate 95 involving 2 vehicles. bruises reported. minor scratches to vehicle. Seeking full compensation.,vehicle,S6713841B
POL-2021-102388,Fall during skiing practice. fractured ribs to back. X-ray showed minor fracture.,sports,S3133309E
POL-2022-414838,Trip cancelled due to medical emergency. Non-refundable bookings worth $25000.,travel,S5414818B
POL-2021-919145,Sudden chest pain while exercising. Transported to hospital. specialized care administered.,medical,S7403910D
POL-2024-672311,Hit and run incident in parking lot. Vehicle rear damage. Driver had neck strain. Photos attached.,vehicle,S6963955A
POL-2022-840818,"Luggage lost on flight from Sydney to Hong Kong. Contained jewelry, camera equipment. No witnesses present.",travel,S6825189A
POL-2023-860722,Slipped and fell at office building. Resulted in neck strain. Required observation.,medical,S5265389H
POL-2022-202519,"Fire damage at intersection. jewelry, camera equipment destroyed. Total loss estimated at $1000. Photos attached.",property,S6248621A
POL-2023-809416,Car accident on Route 66 involving 4 vehicles. concussion reported. front bumper damaged to vehicle. Insurance claim to follow.,vehicle,S7086557E
POL-2023-670355,Vehicle collided with pole at highway. Driver experienced back pain. Rainy conditions. Photos attached.,vehicle,S8177544D
POL-2022-507851,Car accident on Park Avenue involving 3 vehicles. bruises reported. front bumper damaged to vehicle.,vehicle,S9716644A
POL-2021-424952,Fell ill with dengue fever during trip to Mexico. Medical expenses $10000.,travel,S7892243G
POL-2021-991055,Flight delayed for 12 hours. Missed tour booking. Incurred $2000 in expenses.,travel,S9270756H
POL-2021-944573,Vehicle collided with barrier at highway. Driver experienced concussion. Windy conditions. No witnesses present.,vehicle,S4222243G
POL-2020-327434,Sudden heart palpitations while exercising. Transported to hospital. medication administered.,medical,S3086410B
POL-2024-730606,Passport stolen in highway. Had to slowing down. Additional costs incurred.,travel,S8484986H
POL-2023-504296,Fall during basketball practice. fractured ribs to ankle. X-ray showed minor fracture.,sports,S8598149A
POL-2021-658278,Rear-ended by another vehicle while parking. Suffered shoulder pain. Police report filed.,vehicle,S1544905D
POL-2022-157111,Food poisoning at hotel restaurant. Symptoms included dizziness. Hospitalized for 3 days.,medical,S1748089B
POL-2023-788300,Car accident on Route 66 involving 4 vehicles. bruises reported. total loss to vehicle.,vehicle,S9668174E
POL-2024-113307,Car accident on Park Avenue involving 4 vehicles. bruises reported. rear damage to vehicle.,vehicle,S3985272F
POL-2021-291355,Water damage to home due to brake failure. Estimated repair cost $1000.,property,S1297174A
POL-2024-518008,Vehicle collided with divider at parking lot. Driver experienced neck strain. Clear conditions.,vehicle,S3276586G
POL-2020-462401,Single vehicle accident due to animal crossing. back pain sustained. Vehicle significant damage.,vehicle,S7098012F
POL-2021-504953,"Luggage lost on flight from London to Dubai. Contained electronics, clothing, documents.",travel,S2538224E
POL-2022-760000,Flight delayed for 3 hours. Missed connecting flight. Incurred $500 in expenses. Insurance claim to follow.,travel,S9010723A
POL-2024-208105,Car accident on Park Avenue involving 4 vehicles. shoulder pain reported. significant damage to vehicle. Photos attached.,vehicle,S7593926E
POL-2022-880771,Hit and run incident in shopping mall. Vehicle front bumper damaged. Driver had back pain.,vehicle,S3517985H
POL-2021-475518,Sudden asthma attack while dining. Transported to hospital. medication administered. Photos attached.,medical,S4873781H
POL-2024-680177,Passport stolen in highway. Had to stopped at traffic light. Additional costs incurred.,travel,S4212695E
POL-2021-362934,Vehicle collided with pole at shopping mall. Driver experienced shoulder pain. Snowy conditions.,vehicle,S1519755A
POL-2021-491368,Trip cancelled due to family emergency. Non-refundable bookings worth $25000.,travel,S7528301G
POL-2020-235613,Trip cancelled due to weather. Non-refundable bookings worth $5000. Seeking full compensation.,travel,S6005143B
POL-2022-906753,Collision with tree during football activity. Sustained fractured ribs.,sports,S3942979H
POL-2024-858797,Slipped and fell at parking lot. Resulted in knee injury. Required observation. No witnesses present.,medical,S5819112H
POL-2024-800818,Vandalism to home. rear damage requiring professional repair.,property,S8005284E
POL-2024-821265,Storm damage to office. rear damage observed. Temporary accommodation needed. Photos attached.,property,S7439666D
POL-2024-588223,Rear-ended by another vehicle while stopped at traffic light. Suffered bruises. Police report filed.,vehicle,S6774032A
POL-2020-332567,Vandalism to office. total loss requiring professional repair.,property,S9747304H
POL-2023-162388,Hit and run incident in residential area. Vehicle minor scratches. Driver had bruises.,vehicle,S7044525C
POL-2021-945093,Fell ill with stomach flu during trip to Mexico. Medical expenses $5000.,travel,S6130889G
POL-2021-203385,Vehicle collided with cyclist at parking lot. Driver experienced concussion. Windy conditions. Urgent processing requested.,vehicle,S6674932B
POL-2022-892250,Pre-existing chest pain aggravated during travel. Required specialized care. Seeking full compensation.,medical,S9911039B
POL-2023-134700,Pre-existing asthma attack aggravated during travel. Required medication. Photos attached.,medical,S9837903G
POL-2021-788488,"Food poisoning at street vendor. Symptoms included severe headache, fever. Hospitalized for 3 days.",medical,S2696520B
POL-2023-120207,Hit and run incident in shopping mall. Vehicle front bumper damaged. Driver had back pain.,vehicle,S5801139F
POL-2021-391710,Sudden chest pain while sightseeing. Transported to hospital. medication administered. No witnesses present.,medical,S2453378D
POL-2021-560260,Allergic reaction to medication. Experienced difficulty breathing. Emergency treatment required.,medical,S5653978C
POL-2023-896582,Collision with another vehicle during skiing activity. Sustained back pain.,sports,S7276341B
POL-2023-486788,Slipped and fell at downtown. Resulted in neck strain. Required specialized care. Seeking full compensation.,medical,S5399439H
POL-2020-929093,Pre-existing diabetic emergency aggravated during travel. Required observation. Insurance claim to follow.,medical,S6924975F
POL-2020-603494,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes significant damage.",property,S8284204A
POL-2024-933657,Trip cancelled due to political unrest. Non-refundable bookings worth $2500.,travel,S3911710C
POL-2020-503107,Car accident on Route 66 involving 2 vehicles. back pain reported. minor scratches to vehicle. No witnesses present.,vehicle,S7802298F
POL-2021-642877,Flight delayed for 48 hours. Missed tour booking. Incurred $1000 in expenses. Seeking full compensation.,travel,S1468075F
POL-2024-719918,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle rear damage.,vehicle,S7675247B
POL-2024-829208,Vehicle collided with tree at office building. Driver experienced shoulder pain. Rainy conditions.,vehicle,S8146329F
POL-2024-877098,Hit and run incident in intersection. Vehicle significant damage. Driver had back pain.,vehicle,S9781093H
POL-2022-554634,Pre-existing seizure aggravated during travel. Required specialized care.,medical,S2129788G
POL-2020-867005,"Food poisoning at hotel restaurant. Symptoms included nausea, vomiting, diarrhea. Hospitalized for 5 days.",medical,S9975173F
POL-2024-483683,"Allergic reaction to peanuts. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S7168510C
POL-2020-798853,Slipped and fell at shopping mall. Resulted in neck strain. Required emergency surgery. Previous claim history: none.,medical,S6656726E
POL-2023-811362,Fell ill with stomach flu during trip to India. Medical expenses $25000. No witnesses present.,travel,S2528934B
POL-2022-744677,Storm damage to office. significant damage observed. Temporary accommodation needed.,property,S6375125B
POL-2024-431835,Rear-ended by another vehicle while stopped at traffic light. Suffered bruises. Police report filed.,vehicle,S2679897G
POL-2021-819701,Food poisoning at airport cafe. Symptoms included dizziness. Hospitalized for 5 days.,medical,S4368897E
POL-2021-952668,Vandalism to vehicle. minor scratches requiring professional repair. No witnesses present.,property,S8749253B
POL-2022-168916,"Luggage lost on flight from London to Paris. Contained electronics, clothing, documents. Seeking full compensation.",travel,S8087224E
POL-2020-312864,Allergic reaction to insect sting. Experienced severe pain. Emergency treatment required.,medical,S9993251D
POL-2020-701667,Food poisoning at hotel restaurant. Symptoms included severe pain. Hospitalized for 5 days.,medical,S1861289E
POL-2024-921943,Equipment failure during skiing resulted in bruises. Required observation. No witnesses present.,sports,S3527006F
POL-2021-850493,Sudden chest pain while dining. Transported to hospital. medication administered.,medical,S7034246D
POL-2024-778952,Single vehicle accident due to tire blowout. shoulder pain sustained. Vehicle total loss. Photos attached.,vehicle,S7184111E
POL-2022-492681,Injured elbow while playing skiing. bruises diagnosed. Treatment: emergency surgery.,sports,S5055889H
POL-2024-228992,Water damage to vehicle due to slippery road. Estimated repair cost $25000.,property,S3327790E
POL-2023-855106,Flight delayed for 48 hours. Missed connecting flight. Incurred $5000 in expenses.,travel,S6009066C
POL-2024-648434,Flight delayed for 3 hours. Missed tour booking. Incurred $5000 in expenses. Insurance claim to follow.,travel,S4560472H
POL-2021-706388,Sudden heart palpitations while dining. Transported to hospital. emergency surgery administered.,medical,S9902792C
POL-2021-880360,Rear-ended by another vehicle while changing lanes. Suffered fractured ribs. Police report filed. No witnesses present.,vehicle,S2159171F
POL-2021-199238,Rear-ended by another vehicle while turning left. Suffered knee injury. Police report filed.,vehicle,S3119488D
POL-2020-717274,Car accident on Main Street involving multiple vehicles. fractured ribs reported. front bumper damaged to vehicle.,vehicle,S5429521A
POL-2020-825429,Water damage to apartment due to mechanical failure. Estimated repair cost $1000.,property,S9639008D
POL-2023-209720,Single vehicle accident due to slippery road. bruises sustained. Vehicle front bumper damaged.,vehicle,S4155355A
POL-2020-928210,Vandalism to vehicle. total loss requiring professional repair.,property,S6153699F
POL-2024-201519,Sudden heart palpitations while sightseeing. Transported to hospital. physical therapy administered.,medical,S7653694F
POL-2023-370821,"Food poisoning at hotel restaurant. Symptoms included severe headache, fever. Hospitalized for 2 days.",medical,S6014103G
POL-2021-956334,Car accident on Park Avenue involving multiple vehicles. knee injury reported. front bumper damaged to vehicle.,vehicle,S7687298E
POL-2021-505635,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S9143629E
POL-2020-257422,Vehicle collided with tree at highway. Driver experienced knee injury. Windy conditions. No witnesses present.,vehicle,S7832421G
POL-2020-974397,Slipped and fell at residential area. Resulted in knee injury. Required emergency surgery.,medical,S3633504E
POL-2020-712861,Overexertion during traveling caused concussion. Doctor recommended observation. Previous claim history: none.,sports,S3996406B
POL-2021-866661,Vehicle collided with wall at parking lot. Driver experienced back pain. Normal conditions.,vehicle,S5550758H
POL-2022-369342,Single vehicle accident due to tire blowout. neck strain sustained. Vehicle minor scratches.,vehicle,S1583412C
POL-2022-255263,Overexertion during traveling caused back pain. Doctor recommended observation.,sports,S8307571G
POL-2023-807735,Single vehicle accident due to animal crossing. shoulder pain sustained. Vehicle front bumper damaged.,vehicle,S8683044C
